geocode,minDist_subcenter,Distance2Center,wgt_center,build_vol_density
001,1.2773781949115555,0.9704669092617084,POINT (3825967.192267942 2298311.123876255),15727657.555015279
002,1.683062870258742,0.5552209828234582,POINT (3826290.893715866 2298014.339286564),15741782.638266193
003,2.0533288102756035,0.6409125618300294,POINT (3825859.4522462566 2297478.3785503292),10347532.17676203
004,1.8772625304900998,1.6256320693939328,POINT (3824889.961296757 2297724.6219025436),5790985.614751449
005,1.1880174970954547,1.5230125881580054,POINT (3825231.399113158 2298342.74499915),5172774.743148783
006,0.20741684771597252,2.0431054629674943,POINT (3825521.844148031 2299293.7366200383),5002164.271700738
007,1.0661561263573391,1.5695989404309625,POINT (3826475.334269066 2299069.405121541),5278158.235111583
008,1.8387306980249036,1.5925349584377777,POINT (3827241.3229995 2298909.470753247),2376425.32061361
009,2.195251223723865,0.6190196424542305,POINT (3826985.6476031914 2297883.8381472165),9847605.740636526
010,2.449450053164116,1.1696693752894851,POINT (3827228.0534807574 2296584.5413299077),3292689.944890354
011,1.8405116347821668,1.7870086102548286,POINT (3826327.150284159 2295721.370542002),5321602.457006492
012,1.3712194077846538,1.457768580623877,POINT (3825489.3004198773 2296449.4879375305),4565160.224934883
013,0.325440284325553,2.944726772452367,POINT (3824648.307132484 2295210.316771082),3749408.2291233502
014,1.2982564402583656,2.78515317924207,POINT (3823855.255345751 2296626.8425424565),4188236.1933100224
015,2.46745956361749,2.8665862482086735,POINT (3823650.9717567908 2297816.7882381263),2945310.3635072163
016,3.000565708974637,4.047385279201811,POINT (3822457.4633635744 2297698.0533803194),1014399.9687005057
017,1.7582556434413,2.8881581009386776,POINT (3823903.1639237152 2298764.0805389388),3626573.214151569
018,2.4470387714540767,3.881090761949308,POINT (3823061.2040333683 2299299.3187050563),4487794.641674401
019,3.8055923063610533,5.2968199643713145,POINT (3821702.2752202833 2299744.5798433237),4442079.442315851
020,4.069332514949948,5.707050972801759,POINT (3821500.9869933436 2300253.234418904),7280851.511939275
021,1.616439630794399,3.4754953568036013,POINT (3823916.531219662 2299824.8133336212),3561541.096013463
022,1.4073608097156383,3.5987967947923867,POINT (3824504.719504211 2300495.0282324767),5252665.117149855
023,3.168277977631697,5.273765592383352,POINT (3822996.669718765 2301441.9894043477),2965527.5564204003
024,4.395924695987279,6.338263556606177,POINT (3821588.8701832537 2301506.7928366796),2234976.226349417
025,1.7184097875751736,3.9084245663811847,POINT (3825233.9555029715 2301197.69034975),2298373.308887831
026,1.4550191065997677,3.1121145125557526,POINT (3826438.9429530017 2300611.5155111733),1408106.4716433035
027,1.243765777835637,2.482962420588622,POINT (3828769.69151199 2298506.7784376196),1691123.8083102368
028,0.6810281387094098,2.4592910974188493,POINT (3828930.7188960216 2297126.2108209603),5988086.091161694
029,2.8239538183370936,3.7758670488781902,POINT (3829047.076133784 2300287.395762986),1989044.6077485376
030,3.803269876595592,4.580822425583464,POINT (3828736.2465659333 2301497.891368094),1122271.1393803027
033,2.608061581737914,3.969682325744111,POINT (3829086.618631223 2294488.7242198805),768255.755265602
034,2.5508924285894174,4.3841026445960445,POINT (3825615.657564166 2293206.016481804),374932.0729897804
035,2.300997293329728,5.119415534043867,POINT (3822681.906295819 2294089.636987606),1117854.499694636
036,1.1483402015824564,6.772771946250639,POINT (3831397.7737972876 2302177.84690499),1162638.331385622
037,1.43192082394045,9.242152963102,POINT (3833595.080882033 2303422.6023562946),855208.439490933
038,5.160234174583624,6.475801168666943,POINT (3820339.7667689957 2299496.8793943897),763156.8524406821
039,5.247607406239315,7.340779292738017,POINT (3821416.2930514556 2302795.560809396),337743.4226948733
041,6.266319793544091,8.322472624264872,POINT (3825534.061031202 2305766.22722227),400990.7151290445
042,3.337095240344294,6.739299860494148,POINT (3829351.6071555233 2303606.267210025),1155798.0752052716
043,0.21248471359590274,6.428664448391024,POINT (3831385.2098008757 2293321.190146533),1660892.4211445136
045,5.618299979208419,8.108889609593419,POINT (3823477.221146063 2289975.5798428874),177801.31374788607
046,7.578396099791563,10.289042448277753,POINT (3817664.743002833 2292227.1802328858),180724.93940625642
047,6.627872155047831,8.774857665149568,POINT (3817881.439211365 2295851.201353641),253161.58173634138
048,12.214324470835976,14.695397222979027,POINT (3812611.6147783417 2292697.140906089),149164.55890548544
049,8.085672667304644,9.37739115629708,POINT (3817260.1958220815 2299100.463574068),236014.16291763505
053,8.5601804619811,16.2338039431991,POINT (3837454.3158495817 2309480.7910729563),130410.2384291398
054,4.649917032277604,11.772307907971701,POINT (3837149.887093752 2302516.6859948),893390.3071143888
057,4.289622641599882,5.905331530416347,POINT (3827427.909573795 2303331.974306098),401807.036018334
