geocode,score_spatiotemporal
101,3466.309628452852
102,2340.5154185342344
103,1847.541557160512
104,3930.6026634738487
105001,1947.208298513956
105002,1735.8850821856904
105003,1531.6455239388172
105004,1344.915399627649
105005,526.5541031820002
105006,557.4476903254968
105008,526.5541031820002
105011,1344.915399627649
105012,557.4476903254968
106,1910.1704440138003
107,1053.082949611544
108,755.2108989396402
109001,1414.1161556088823
109002,1258.2785901420273
109003,1781.2517212637715
109004,902.1253863124726
109005,692.1859682503573
109006,820.9924560794043
109007,840.0691652892277
109008,1555.733259383455
109009,115.1655359205614
110,723.9593144654367
111001,246.7380592329355
111002,285.72016877963927
111003,87.40157615948102
111004,55.25423500453602
111005,272.66575195236885
111006,181.7565569494808
111007,272.66575195236885
112,780.3731350801305
113001,99.10254951631237
113002,44.34158389703471
113003,408.5928892607436
113004,519.418626290315
113005,413.880684787718
113006,155.26418013193307
113007,152.22084179918045
113008,393.1485666446731
113009,480.81608240663655
113010,368.5867229935682
114001,207.99748064325192
114002,167.14044372004395
114003,38.22439763153436
114004,225.2259442116272
114005,107.26122568413984
114007,364.86804566828073
115001,160.17000017139563
115002,87.46243306143823
115003,51.01965048259382
115004,67.25705295382537
115005,67.25705295382537
116001,174.4836801876826
116002,323.7033899867536
116003,171.40788872820315
116004,295.2350739758916
116005,17.40955111984954
116007,194.24288312334937
116008,174.4836801876826
116009,295.2350739758916
116010,194.24288312334937
117001,63.05762609018341
117002,366.52849223104727
117003,192.71911317962469
117004,315.5931080244801
117005,144.47309606665124
117006,31.97592311023557
118001,330.0809576822334
118002,70.11243086746377
118003,23.47055875648344
119001,12.614354984993508
119002,1.770200446145075
